variant,repeat,workload,precision,cached,step_ms,ticks,mean_ms,p95_ms,force_ms,index_ms,grouping_ms,physics_ms,construction_worker_ms,solver_worker_ms,writeback_ms,updates,speed_violations,groups,max_group,pairs,impacts,catalogue_records,isolated_bodies
singleton_groups,0,ships-1,f64,true,10,300,30.714433,33.214016,1.856501,15.562053,8.684384,2.973225,0.007382,0.040604,0.806080,40533.583333,0.000000,3001.000,2,1.000,0,0,
singleton_groups,0,ships-1,f64,true,10,300,41.826579,45.039801,1.868210,20.455720,14.874918,2.984624,0.008247,0.041598,0.806310,40533.583333,0.000000,3001.000,2,1.000,0,1001760,
singleton_groups,1,ships-1,f64,true,10,300,30.451770,32.735582,1.858840,15.310910,8.642787,3.007361,0.007313,0.039332,0.799739,40533.583333,0.000000,3001.000,2,1.000,0,0,
singleton_groups,1,ships-1,f64,true,10,300,43.032074,46.748018,1.913399,21.286470,15.142922,3.016137,0.007704,0.039522,0.829249,40533.583333,0.000000,3001.000,2,1.000,0,1001760,
singleton_groups,2,ships-1,f64,true,10,300,31.000117,33.297224,1.894042,15.820411,8.774295,2.897315,0.007737,0.040902,0.785032,40533.583333,0.000000,3001.000,2,1.000,0,0,
singleton_groups,2,ships-1,f64,true,10,300,42.110258,45.065913,1.869621,20.763165,14.862004,2.991100,0.007607,0.041979,0.792134,40533.583333,0.000000,3001.000,2,1.000,0,1001760,
sparse_groups,0,ships-1,f64,true,10,300,24.119212,25.504313,1.772308,14.519366,6.305238,0.184589,0.006748,0.020651,0.545638,40533.583333,0.000000,1.000,2,1.000,0,0,3000.000
sparse_groups,0,ships-1,f64,true,10,300,34.472207,37.201120,1.759621,20.378163,10.725249,0.185821,0.006513,0.020466,0.602854,40533.583333,0.000000,1.000,2,1.000,0,1001760,3000.000
sparse_groups,1,ships-1,f64,true,10,300,24.322176,26.343071,1.804789,14.683308,6.301667,0.183729,0.006590,0.020260,0.572291,40533.583333,0.000000,1.000,2,1.000,0,0,3000.000
sparse_groups,1,ships-1,f64,true,10,300,33.811759,38.559213,1.718289,19.879725,10.660396,0.187617,0.006797,0.021397,0.562397,40533.583333,0.000000,1.000,2,1.000,0,1001760,3000.000
sparse_groups,2,ships-1,f64,true,10,300,24.354581,26.650654,1.802341,14.640357,6.367258,0.185386,0.006208,0.019679,0.577101,40533.583333,0.000000,1.000,2,1.000,0,0,3000.000
sparse_groups,2,ships-1,f64,true,10,300,33.721880,36.142620,1.778089,19.737578,10.668554,0.187252,0.006747,0.020545,0.523322,40533.583333,0.000000,1.000,2,1.000,0,1001760,3000.000
