
running 1 test
bvh_build entries=1001760 payload_ms=52.246 keys_ms=19.334 partition_ms=83.183 assembly_ms=150.173 cleanup_ms=0.915 node_bytes=256450432 total_ms=305.852
bvh_build entries=3024 payload_ms=0.558 keys_ms=0.039 partition_ms=0.593 assembly_ms=0.401 cleanup_ms=0.002 node_bytes=774016 total_ms=1.592
bvh_build entries=3024 payload_ms=0.319 keys_ms=0.038 partition_ms=0.584 assembly_ms=0.130 cleanup_ms=0.001 node_bytes=774016 total_ms=1.072
setup players=16 scene=sparse repeat=0 seconds=2.625 catalogue=1001760 records=3024
bvh_build entries=46908 payload_ms=4.308 keys_ms=0.591 partition_ms=3.244 assembly_ms=4.432 cleanup_ms=0.005 node_bytes=12008320 total_ms=12.580
first simulation tick ms=874.322
progress frame=0 total_ms=929.537 physics_ms=359.620 groups=1 bodies=3017 grouped=2
bvh_build entries=46908 payload_ms=8.778 keys_ms=0.564 partition_ms=3.114 assembly_ms=4.120 cleanup_ms=0.005 node_bytes=12008320 total_ms=16.579
bvh_build entries=46908 payload_ms=8.599 keys_ms=0.589 partition_ms=2.725 assembly_ms=3.644 cleanup_ms=0.004 node_bytes=12008320 total_ms=15.560
bvh_build entries=46908 payload_ms=4.335 keys_ms=0.582 partition_ms=2.551 assembly_ms=2.028 cleanup_ms=0.004 node_bytes=12008320 total_ms=9.500
bvh_build entries=46908 payload_ms=6.767 keys_ms=0.585 partition_ms=2.779 assembly_ms=4.150 cleanup_ms=0.004 node_bytes=12008320 total_ms=14.284
bvh_build entries=46908 payload_ms=8.711 keys_ms=0.630 partition_ms=2.651 assembly_ms=3.647 cleanup_ms=0.004 node_bytes=12008320 total_ms=15.643
bvh_build entries=46908 payload_ms=4.782 keys_ms=0.632 partition_ms=2.676 assembly_ms=4.239 cleanup_ms=0.003 node_bytes=12008320 total_ms=12.332
bvh_build entries=46908 payload_ms=4.315 keys_ms=0.555 partition_ms=2.737 assembly_ms=1.881 cleanup_ms=0.003 node_bytes=12008320 total_ms=9.491
bvh_build entries=46908 payload_ms=5.235 keys_ms=0.693 partition_ms=3.267 assembly_ms=3.565 cleanup_ms=0.004 node_bytes=12008320 total_ms=12.764
bvh_build entries=46908 payload_ms=7.708 keys_ms=0.561 partition_ms=2.865 assembly_ms=3.482 cleanup_ms=0.003 node_bytes=12008320 total_ms=14.619
bvh_build entries=46908 payload_ms=4.246 keys_ms=0.795 partition_ms=2.622 assembly_ms=3.055 cleanup_ms=0.004 node_bytes=12008320 total_ms=10.723
bvh_build entries=46908 payload_ms=7.015 keys_ms=0.579 partition_ms=2.704 assembly_ms=3.444 cleanup_ms=0.004 node_bytes=12008320 total_ms=13.745
bvh_build entries=46908 payload_ms=5.579 keys_ms=0.599 partition_ms=2.631 assembly_ms=4.009 cleanup_ms=0.005 node_bytes=12008320 total_ms=12.823
bvh_build entries=46908 payload_ms=10.330 keys_ms=0.760 partition_ms=2.750 assembly_ms=5.335 cleanup_ms=0.003 node_bytes=12008320 total_ms=19.179
bvh_build entries=46908 payload_ms=9.076 keys_ms=0.673 partition_ms=2.702 assembly_ms=3.281 cleanup_ms=0.005 node_bytes=12008320 total_ms=15.737
bvh_build entries=46908 payload_ms=4.837 keys_ms=0.617 partition_ms=2.623 assembly_ms=1.951 cleanup_ms=0.004 node_bytes=12008320 total_ms=10.032
bvh_build entries=46908 payload_ms=4.436 keys_ms=1.323 partition_ms=2.901 assembly_ms=3.271 cleanup_ms=0.005 node_bytes=12008320 total_ms=11.936
bvh_build entries=46908 payload_ms=5.490 keys_ms=1.120 partition_ms=3.757 assembly_ms=2.329 cleanup_ms=0.006 node_bytes=12008320 total_ms=12.703
bvh_build entries=46908 payload_ms=7.452 keys_ms=0.707 partition_ms=2.794 assembly_ms=5.061 cleanup_ms=0.006 node_bytes=12008320 total_ms=16.019
bvh_build entries=46908 payload_ms=5.365 keys_ms=0.600 partition_ms=3.133 assembly_ms=2.072 cleanup_ms=0.004 node_bytes=12008320 total_ms=11.174
bvh_build entries=46908 payload_ms=4.248 keys_ms=0.600 partition_ms=2.784 assembly_ms=1.918 cleanup_ms=0.004 node_bytes=12008320 total_ms=9.553
bvh_build entries=46908 payload_ms=4.370 keys_ms=0.564 partition_ms=2.812 assembly_ms=3.069 cleanup_ms=0.004 node_bytes=12008320 total_ms=10.819
bvh_build entries=46908 payload_ms=7.644 keys_ms=1.016 partition_ms=2.883 assembly_ms=4.638 cleanup_ms=0.004 node_bytes=12008320 total_ms=16.185
bvh_build entries=46908 payload_ms=6.552 keys_ms=0.763 partition_ms=2.695 assembly_ms=3.150 cleanup_ms=0.004 node_bytes=12008320 total_ms=13.164
bvh_build entries=46908 payload_ms=4.789 keys_ms=0.659 partition_ms=3.451 assembly_ms=2.520 cleanup_ms=0.004 node_bytes=12008320 total_ms=11.422
bvh_build entries=46908 payload_ms=5.449 keys_ms=0.911 partition_ms=4.329 assembly_ms=1.891 cleanup_ms=0.003 node_bytes=12008320 total_ms=12.582
bvh_build entries=46908 payload_ms=7.750 keys_ms=0.780 partition_ms=2.883 assembly_ms=3.838 cleanup_ms=0.004 node_bytes=12008320 total_ms=15.254
bvh_build entries=46908 payload_ms=4.220 keys_ms=0.626 partition_ms=2.631 assembly_ms=1.832 cleanup_ms=0.004 node_bytes=12008320 total_ms=9.314
bvh_build entries=46908 payload_ms=5.944 keys_ms=0.607 partition_ms=2.642 assembly_ms=4.105 cleanup_ms=0.004 node_bytes=12008320 total_ms=13.301
bvh_build entries=46908 payload_ms=4.255 keys_ms=0.590 partition_ms=3.107 assembly_ms=2.030 cleanup_ms=0.004 node_bytes=12008320 total_ms=9.986
