scenario,format,codec,repeat,first_wire_bytes,raw_bytes,wire_bytes,serialize_us,compress_us,decompress_us,parse_us,server_us,server_p95_us,client_us,asset_wire_bytes
coast128,snapshot,raw,0,24336,24351.7,24351.7,39.3,9.7,0.8,117.0,49.0,50.2,117.8,0
coast128,snapshot,lz4-linked,0,10794,24351.7,5524.1,31.7,20.9,8.6,116.9,52.6,61.0,125.5,0
coast128,snapshot,zstd1-w20,0,8371,24351.7,2994.1,34.0,18.8,4.7,116.7,52.8,61.8,121.5,0
coast128,snapshot,zstd1-w23,0,8371,24351.7,2988.4,31.1,18.3,6.8,116.4,49.4,54.8,123.2,0
coast128,snapshot,zstd3-w20,0,8400,24351.7,2970.9,30.5,37.0,5.1,117.9,67.5,72.3,122.9,0
coast128,snapshot,zstd3-w23,0,8400,24351.7,2992.1,34.2,27.5,5.0,117.1,61.7,70.7,122.1,0
coast128,compact,zstd1-w23,0,8508,14480.7,2910.4,24.4,14.2,4.2,81.3,38.6,40.5,85.5,0
coast128,compact,zstd3-w23,0,8412,14480.7,2920.0,24.9,25.2,4.5,82.7,50.1,55.8,87.2,0
coast128,snapshot,zstd1-independent,0,8371,24351.7,8382.9,30.6,41.0,12.2,116.4,71.6,77.2,128.6,0
coast128,delta,raw,0,24352,3060.8,3060.8,11.5,0.1,0.1,13.1,11.6,11.9,13.2,0
coast128,delta,lz4-linked,0,10805,3060.8,2695.3,11.6,2.2,1.3,13.2,13.9,14.8,14.5,0
coast128,delta,zstd1-w23,0,8387,3060.8,2505.6,11.7,7.2,3.2,13.2,18.9,19.6,16.4,0
coast128,snapshot,zstd3-w20,1,8400,24351.7,2970.9,30.7,37.1,5.0,116.4,67.8,72.5,121.4,0
coast128,snapshot,zstd3-w23,1,8400,24351.7,2992.1,31.5,27.3,5.0,115.6,58.8,64.7,120.6,0
coast128,compact,zstd1-w23,1,8508,14480.7,2910.4,24.9,14.5,4.3,83.7,39.4,42.8,88.0,0
coast128,compact,zstd3-w23,1,8412,14480.7,2920.0,25.0,25.4,4.5,82.2,50.3,57.8,86.8,0
coast128,snapshot,zstd1-independent,1,8371,24351.7,8382.9,30.2,40.5,12.5,117.4,70.7,72.2,129.9,0
coast128,delta,raw,1,24352,3060.8,3060.8,11.5,0.1,0.1,13.1,11.6,11.9,13.2,0
coast128,delta,lz4-linked,1,10805,3060.8,2695.3,11.5,2.2,1.3,13.3,13.8,14.5,14.6,0
coast128,delta,zstd1-w23,1,8387,3060.8,2505.6,11.6,7.2,3.2,13.2,18.8,19.7,16.4,0
coast128,snapshot,raw,1,24336,24351.7,24351.7,30.1,1.5,0.4,117.8,31.7,31.4,118.2,0
coast128,snapshot,lz4-linked,1,10794,24351.7,5524.1,30.3,19.1,8.7,118.3,49.4,51.9,127.1,0
coast128,snapshot,zstd1-w20,1,8371,24351.7,2994.1,31.1,18.7,4.8,117.2,49.8,55.7,122.0,0
coast128,snapshot,zstd1-w23,1,8371,24351.7,2988.4,30.6,16.4,4.9,117.8,47.0,49.9,122.7,0
coast128,snapshot,zstd1-independent,2,8371,24351.7,8382.9,30.1,41.4,12.1,117.6,71.5,73.6,129.7,0
coast128,delta,raw,2,24352,3060.8,3060.8,11.6,0.1,0.1,13.2,11.7,12.0,13.3,0
coast128,delta,lz4-linked,2,10805,3060.8,2695.3,11.6,2.3,1.3,13.3,13.9,14.7,14.6,0
coast128,delta,zstd1-w23,2,8387,3060.8,2505.6,11.6,7.1,3.2,13.3,18.7,19.7,16.4,0
coast128,snapshot,raw,2,24336,24351.7,24351.7,30.2,1.8,0.5,116.7,32.0,31.2,117.2,0
coast128,snapshot,lz4-linked,2,10794,24351.7,5524.1,30.4,19.5,8.8,119.8,49.9,51.3,128.5,0
coast128,snapshot,zstd1-w20,2,8371,24351.7,2994.1,30.9,18.6,4.8,116.9,49.5,53.9,121.6,0
coast128,snapshot,zstd1-w23,2,8371,24351.7,2988.4,30.6,16.4,4.7,116.9,47.1,49.3,121.6,0
coast128,snapshot,zstd3-w20,2,8400,24351.7,2970.9,30.8,37.3,5.1,116.7,68.1,73.8,121.7,0
coast128,snapshot,zstd3-w23,2,8400,24351.7,2992.1,31.5,28.0,5.1,117.6,59.5,65.8,122.6,0
coast128,compact,zstd1-w23,2,8508,14480.7,2910.4,24.9,14.4,4.2,83.2,39.3,41.3,87.4,0
coast128,compact,zstd3-w23,2,8412,14480.7,2920.0,24.9,25.0,4.5,82.1,49.9,52.5,86.5,0
coast1024,snapshot,raw,0,192910,192925.7,192925.7,298.8,37.3,6.5,920.0,336.1,463.7,926.4,0
coast1024,snapshot,lz4-linked,0,83730,192925.7,83645.2,283.2,259.9,75.8,915.8,543.1,581.2,991.6,0
coast1024,snapshot,zstd1-w20,0,63261,192925.7,25298.8,299.8,136.9,38.5,918.4,436.7,539.3,956.9,0
coast1024,snapshot,zstd1-w23,0,63261,192925.7,25298.8,304.2,138.6,38.6,922.2,442.8,544.1,960.8,0
coast1024,snapshot,zstd3-w20,0,63978,192925.7,23594.5,300.1,285.6,39.3,919.2,585.7,613.9,958.5,0
coast1024,snapshot,zstd3-w23,0,63978,192925.7,23776.1,306.6,236.2,38.3,919.0,542.8,584.3,957.3,0
coast1024,compact,zstd1-w23,0,65569,114062.7,22726.8,227.1,101.4,30.4,641.2,328.5,341.5,671.6,0
coast1024,compact,zstd3-w23,0,64861,114062.7,22136.0,226.5,193.1,33.0,644.7,419.6,445.6,677.6,0
