scenario,format,codec,runs,first_wire_bytes,raw_bytes,wire_bytes,serialize_us,compress_us,decompress_us,parse_us,server_us,server_p95_us,client_us,asset_wire_bytes,main_mbps_at_10hz
coast128,snapshot,raw,3,24336.0,24351.7,24351.7,30.2,1.8,0.5,117.0,32.0,31.4,117.8,0.0,1.9481
coast128,snapshot,lz4-linked,3,10794.0,24351.7,5524.1,30.4,19.5,8.7,118.3,49.9,51.9,127.1,0.0,0.4419
coast128,snapshot,zstd1-w20,3,8371.0,24351.7,2994.1,31.1,18.7,4.8,116.9,49.8,55.7,121.6,0.0,0.2395
coast128,snapshot,zstd1-w23,3,8371.0,24351.7,2988.4,30.6,16.4,4.9,116.9,47.1,49.9,122.7,0.0,0.2391
coast128,snapshot,zstd3-w20,3,8400.0,24351.7,2970.9,30.7,37.1,5.1,116.7,67.8,72.5,121.7,0.0,0.2377
coast128,snapshot,zstd3-w23,3,8400.0,24351.7,2992.1,31.5,27.5,5.0,117.1,59.5,65.8,122.1,0.0,0.2394
coast128,compact,zstd1-w23,3,8508.0,14480.7,2910.4,24.9,14.4,4.2,83.2,39.3,41.3,87.4,0.0,0.2328
coast128,compact,zstd3-w23,3,8412.0,14480.7,2920.0,24.9,25.2,4.5,82.2,50.1,55.8,86.8,0.0,0.2336
coast128,snapshot,zstd1-independent,3,8371.0,24351.7,8382.9,30.2,41.0,12.2,117.4,71.5,73.6,129.7,0.0,0.6706
coast128,delta,raw,3,24352.0,3060.8,3060.8,11.5,0.1,0.1,13.1,11.6,11.9,13.2,0.0,0.2449
coast128,delta,lz4-linked,3,10805.0,3060.8,2695.3,11.6,2.2,1.3,13.3,13.9,14.7,14.6,0.0,0.2156
coast128,delta,zstd1-w23,3,8387.0,3060.8,2505.6,11.6,7.2,3.2,13.2,18.8,19.7,16.4,0.0,0.2004
coast1024,snapshot,raw,3,192910.0,192925.7,192925.7,276.6,39.1,6.4,918.9,315.8,407.7,925.1,0.0,15.4341
coast1024,snapshot,lz4-linked,3,83730.0,192925.7,83645.2,285.6,262.7,76.4,918.4,548.4,601.1,994.8,0.0,6.6916
coast1024,snapshot,zstd1-w20,3,63261.0,192925.7,25298.8,300.7,143.5,38.8,919.7,444.2,535.6,958.6,0.0,2.0239
coast1024,snapshot,zstd1-w23,3,63261.0,192925.7,25298.8,302.9,138.6,38.5,922.2,442.2,541.0,960.8,0.0,2.0239
coast1024,snapshot,zstd3-w20,3,63978.0,192925.7,23594.5,300.1,293.5,39.3,920.3,589.6,627.0,959.2,0.0,1.8876
coast1024,snapshot,zstd3-w23,3,63978.0,192925.7,23776.1,302.6,238.8,37.9,919.0,542.8,564.5,957.3,0.0,1.9021
coast1024,compact,zstd1-w23,3,65569.0,114062.7,22726.8,227.0,104.9,30.7,641.2,331.8,364.5,671.6,0.0,1.8181
coast1024,compact,zstd3-w23,3,64861.0,114062.7,22136.0,200.2,191.4,32.6,644.7,390.7,427.9,677.4,0.0,1.7709
coast1024,snapshot,zstd1-independent,3,63261.0,192925.7,63541.0,247.2,368.8,81.7,916.2,613.6,676.5,997.9,0.0,5.0833
coast1024,delta,raw,3,192926.0,21641.3,21641.3,83.2,12.0,0.8,98.0,98.6,98.8,98.8,0.0,1.7313
coast1024,delta,lz4-linked,3,83727.0,21641.3,21373.6,84.0,14.7,9.3,96.5,98.7,103.2,105.9,0.0,1.7099
coast1024,delta,zstd1-w23,3,63276.0,21641.3,19452.5,83.9,32.4,15.5,98.7,116.1,120.6,114.1,0.0,1.5562
battle1024,snapshot,raw,3,205228.0,205380.6,205380.6,274.1,44.2,6.1,935.1,319.5,414.9,941.2,0.0,16.4304
battle1024,snapshot,lz4-linked,3,107048.0,205380.6,107145.6,277.4,342.6,93.5,936.1,619.9,679.8,1029.6,0.0,8.5716
battle1024,snapshot,zstd1-w20,3,83078.0,205380.6,55734.5,304.6,263.5,77.4,932.9,567.3,681.1,1011.1,0.0,4.4588
battle1024,snapshot,zstd1-w23,3,83078.0,205380.6,55734.5,300.2,262.9,76.6,931.9,563.1,673.4,1008.5,0.0,4.4588
battle1024,snapshot,zstd3-w20,3,82769.0,205380.6,51836.8,291.0,501.9,76.0,935.6,785.5,849.8,1011.7,0.0,4.1469
battle1024,snapshot,zstd3-w23,3,82769.0,205380.6,51317.6,302.6,450.6,72.3,934.3,753.3,804.1,1007.0,0.0,4.1054
battle1024,compact,zstd1-w23,3,87723.0,126517.6,51133.0,223.7,188.8,57.2,648.0,413.9,450.3,705.0,0.0,4.0906
battle1024,compact,zstd3-w23,3,84530.0,126517.6,48127.4,203.2,381.6,62.0,651.5,584.8,638.2,713.9,0.0,3.8502
battle1024,snapshot,zstd1-independent,3,83078.0,205380.6,82572.5,247.1,435.0,107.0,930.1,682.1,744.4,1037.1,0.0,6.6058
battle1024,delta,raw,3,205244.0,45491.7,45491.7,111.7,13.6,1.3,134.7,125.3,139.1,135.9,0.0,3.6393
battle1024,delta,lz4-linked,3,107047.0,45491.7,45252.6,114.0,36.4,20.7,133.5,150.0,162.8,154.2,0.0,3.6202
battle1024,delta,zstd1-w23,3,83085.0,45491.7,41727.4,112.7,52.8,32.7,134.1,164.8,183.1,166.9,0.0,3.3382
battle8192,snapshot,raw,3,1640826.0,1641138.7,1641138.7,2485.3,260.3,53.7,7486.3,2754.5,3096.9,7540.0,0.0,131.2911
battle8192,snapshot,lz4-linked,3,853413.0,1641138.7,854628.3,2466.4,2672.8,755.3,7545.5,5139.2,5314.7,8300.8,0.0,68.3703
battle8192,snapshot,zstd1-w20,3,654933.0,1641138.7,653634.9,2487.5,2622.7,844.9,7534.3,5110.2,5457.0,8379.2,0.0,52.2908
battle8192,snapshot,zstd1-w23,3,654933.0,1641138.7,653621.5,2375.1,2797.6,850.1,7531.6,5172.7,5465.7,8381.7,0.0,52.2897
battle8192,snapshot,zstd3-w20,3,657783.0,1641138.7,663284.0,2446.7,5819.9,889.4,7467.6,8056.5,8574.8,8357.1,0.0,53.0627
battle8192,snapshot,zstd3-w23,3,657960.0,1641138.7,476065.6,2431.5,4171.6,678.8,7430.1,6531.1,6916.2,8108.9,0.0,38.0852
battle8192,compact,zstd1-w23,3,684363.0,1010339.7,681253.6,1920.8,2350.5,714.3,5188.5,4285.4,4493.8,5902.8,0.0,54.5003
battle8192,compact,zstd3-w23,3,675152.0,1010339.7,439666.0,1900.8,3656.5,563.8,5206.7,5545.1,5833.8,5770.6,0.0,35.1733
battle8192,snapshot,zstd1-independent,3,654933.0,1641138.7,653340.3,2462.9,2574.9,839.3,7456.5,5034.9,5289.8,8295.7,0.0,52.2672
battle8192,delta,raw,3,1640842.0,360452.8,360452.8,960.5,52.9,12.2,1075.7,1014.4,1145.5,1087.8,0.0,28.8362
battle8192,delta,lz4-linked,3,853395.0,360452.8,359740.2,951.0,408.0,197.4,1071.7,1359.1,1507.3,1269.1,0.0,28.7792
battle8192,delta,zstd1-w23,3,654764.0,360452.8,333022.2,957.2,372.8,256.9,1071.8,1329.9,1486.0,1328.7,0.0,26.6418
battle1024-assets,snapshot,raw,3,205228.0,205380.6,205380.6,254.3,27.0,7.0,939.3,282.7,277.0,946.3,4194304.0,16.4304
battle1024-assets,snapshot,lz4-linked,3,107048.0,205380.6,107161.2,253.3,349.3,94.9,943.5,603.9,604.1,1037.7,4194816.0,8.5729
battle1024-assets,snapshot,zstd1-w20,3,83078.0,205380.6,56056.1,248.6,251.4,78.0,939.2,498.1,600.8,1016.9,4194400.0,4.4845
battle1024-assets,snapshot,zstd1-w23,3,83078.0,205380.6,56056.2,249.1,249.9,77.0,933.4,499.0,595.0,1010.3,4194400.0,4.4845
battle1024-assets,snapshot,zstd3-w20,3,82769.0,205380.6,51991.4,254.5,522.9,75.4,934.8,777.4,829.3,1009.6,4194496.0,4.1593
battle1024-assets,snapshot,zstd3-w23,3,82769.0,205380.6,51342.1,251.1,453.9,73.2,942.4,704.9,743.1,1015.6,4194496.0,4.1074
battle1024-assets,compact,zstd1-w23,3,87723.0,126517.6,51145.5,199.9,179.8,55.9,654.0,380.8,405.5,709.7,4194400.0,4.0916
battle1024-assets,compact,zstd3-w23,3,84530.0,126517.6,48130.7,198.9,392.5,59.4,655.3,592.4,632.5,715.2,4194496.0,3.8505
battle1024-assets,snapshot,zstd1-independent,3,83078.0,205380.6,82572.5,245.2,359.0,108.8,942.0,604.3,625.0,1050.7,4194544.0,6.6058
