scenario,codec,repeat,raw_bytes,wire_bytes,asset_wire_bytes_per_tick,serialize_us,compress_cpu_us,asset_cpu_us_per_tick,compress_wall_p95_us,encoder_bytes
coast128,lz4-linked,0,17909.0,4402.5,0.0,7.441,10.072,0.000,11.630,0
coast128,zstd-1-w16,0,17909.0,2924.9,0.0,7.441,15.314,0.000,18.971,632121
coast128,zstd-1-w18,0,17909.0,2925.4,0.0,7.441,12.321,0.000,13.791,1205785
coast128,zstd-1-w20,0,17909.0,2925.4,0.0,7.441,12.161,0.000,13.450,1992217
coast128,zstd-1-w22,0,17909.0,2925.4,0.0,7.441,12.157,0.000,13.300,5137945
coast128,zstd-1-w23,0,17909.0,2925.4,0.0,7.441,12.264,0.000,13.420,9332249
coast128,zstd-1-w24,0,17909.0,2925.4,0.0,7.441,12.769,0.000,14.730,17720857
coast128,zstd1-w16,0,17909.0,2887.1,0.0,7.441,20.785,0.000,24.010,664889
coast128,zstd1-w18,0,17909.0,2913.8,0.0,7.441,18.853,0.000,20.610,1238553
coast128,zstd1-w20,0,17909.0,2913.8,0.0,7.441,18.261,0.000,19.710,2024985
coast128,zstd1-w22,0,17909.0,2913.8,0.0,7.441,17.975,0.000,19.210,5170713
coast128,zstd1-w23,0,17909.0,2913.8,0.0,7.441,17.934,0.000,19.140,9365017
coast128,zstd1-w24,0,17909.0,2913.8,0.0,7.441,18.473,0.000,20.080,17753625
coast128,zstd3-w16,0,17909.0,2911.7,0.0,7.441,27.485,0.000,31.730,1385785
coast128,zstd3-w18,0,17909.0,2912.4,0.0,7.441,39.100,0.000,42.271,1959449
coast128,zstd3-w20,0,17909.0,2912.5,0.0,7.441,36.320,0.000,42.260,2745881
coast128,zstd3-w22,0,17909.0,2912.5,0.0,7.441,34.791,0.000,39.140,5891609
coast128,zstd3-w23,0,17909.0,2912.5,0.0,7.441,31.509,0.000,35.140,10085913
coast128,zstd3-w24,0,17909.0,2912.5,0.0,7.441,32.189,0.000,37.620,18474521
coast128,zstd3-w23-ldm,0,17909.0,3063.7,0.0,7.441,59.650,0.000,64.140,10638873
coast128,zstd3-w24-ldm,0,17909.0,3059.1,0.0,7.441,60.526,0.000,64.501,19555865
coast128,zstd1-w16,1,17909.0,2887.1,0.0,7.441,20.546,0.000,23.830,664889
coast128,zstd1-w18,1,17909.0,2913.8,0.0,7.441,18.915,0.000,20.570,1238553
coast128,zstd1-w20,1,17909.0,2913.8,0.0,7.441,19.055,0.000,24.410,2024985
coast128,zstd1-w22,1,17909.0,2913.8,0.0,7.441,18.343,0.000,20.240,5170713
coast128,zstd1-w23,1,17909.0,2913.8,0.0,7.441,18.427,0.000,22.301,9365017
coast128,zstd1-w24,1,17909.0,2913.8,0.0,7.441,18.706,0.000,21.580,17753625
coast128,zstd3-w16,1,17909.0,2911.7,0.0,7.441,26.607,0.000,29.710,1385785
coast128,zstd3-w18,1,17909.0,2912.4,0.0,7.441,38.341,0.000,41.370,1959449
coast128,zstd3-w20,1,17909.0,2912.5,0.0,7.441,36.055,0.000,39.000,2745881
coast128,zstd3-w22,1,17909.0,2912.5,0.0,7.441,31.822,0.000,36.790,5891609
coast128,zstd3-w23,1,17909.0,2912.5,0.0,7.441,31.900,0.000,37.031,10085913
coast128,zstd3-w24,1,17909.0,2912.5,0.0,7.441,32.287,0.000,37.041,18474521
coast128,zstd3-w23-ldm,1,17909.0,3063.7,0.0,7.441,60.518,0.000,66.000,10638873
coast128,zstd3-w24-ldm,1,17909.0,3059.1,0.0,7.441,60.827,0.000,64.471,19555865
coast128,lz4-linked,1,17909.0,4402.5,0.0,7.441,10.787,0.000,13.040,0
coast128,zstd-1-w16,1,17909.0,2924.9,0.0,7.441,14.834,0.000,17.951,632121
coast128,zstd-1-w18,1,17909.0,2925.4,0.0,7.441,12.281,0.000,13.660,1205785
coast128,zstd-1-w20,1,17909.0,2925.4,0.0,7.441,12.233,0.000,13.500,1992217
coast128,zstd-1-w22,1,17909.0,2925.4,0.0,7.441,12.344,0.000,13.600,5137945
coast128,zstd-1-w23,1,17909.0,2925.4,0.0,7.441,12.422,0.000,13.840,9332249
coast128,zstd-1-w24,1,17909.0,2925.4,0.0,7.441,12.969,0.000,15.000,17720857
coast128,zstd3-w18,2,17909.0,2912.4,0.0,7.441,39.000,0.000,44.120,1959449
coast128,zstd3-w20,2,17909.0,2912.5,0.0,7.441,35.999,0.000,40.670,2745881
coast128,zstd3-w22,2,17909.0,2912.5,0.0,7.441,31.483,0.000,33.190,5891609
coast128,zstd3-w23,2,17909.0,2912.5,0.0,7.441,31.855,0.000,33.421,10085913
coast128,zstd3-w24,2,17909.0,2912.5,0.0,7.441,32.506,0.000,34.321,18474521
coast128,zstd3-w23-ldm,2,17909.0,3063.7,0.0,7.441,60.953,0.000,64.851,10638873
coast128,zstd3-w24-ldm,2,17909.0,3059.1,0.0,7.441,59.825,0.000,64.381,19555865
coast128,lz4-linked,2,17909.0,4402.5,0.0,7.441,10.163,0.000,11.850,0
coast128,zstd-1-w16,2,17909.0,2924.9,0.0,7.441,15.193,0.000,18.120,632121
coast128,zstd-1-w18,2,17909.0,2925.4,0.0,7.441,12.901,0.000,15.161,1205785
coast128,zstd-1-w20,2,17909.0,2925.4,0.0,7.441,12.443,0.000,13.770,1992217
coast128,zstd-1-w22,2,17909.0,2925.4,0.0,7.441,12.497,0.000,14.710,5137945
coast128,zstd-1-w23,2,17909.0,2925.4,0.0,7.441,12.290,0.000,13.550,9332249
coast128,zstd-1-w24,2,17909.0,2925.4,0.0,7.441,12.845,0.000,16.980,17720857
coast128,zstd1-w16,2,17909.0,2887.1,0.0,7.441,20.809,0.000,24.340,664889
coast128,zstd1-w18,2,17909.0,2913.8,0.0,7.441,19.174,0.000,21.161,1238553
coast128,zstd1-w20,2,17909.0,2913.8,0.0,7.441,18.706,0.000,21.490,2024985
coast128,zstd1-w22,2,17909.0,2913.8,0.0,7.441,18.402,0.000,20.550,5170713
coast128,zstd1-w23,2,17909.0,2913.8,0.0,7.441,18.206,0.000,19.720,9365017
coast128,zstd1-w24,2,17909.0,2913.8,0.0,7.441,19.299,0.000,24.861,17753625
coast128,zstd3-w16,2,17909.0,2911.7,0.0,7.441,26.969,0.000,30.350,1385785
coast1024,lz4-linked,0,141540.5,70308.5,0.0,44.831,147.271,0.000,158.081,0
coast1024,zstd-1-w16,0,141540.5,62890.8,0.0,44.831,135.398,0.000,145.641,632121
coast1024,zstd-1-w18,0,141540.5,23122.8,0.0,44.831,71.882,0.000,86.010,1205785
coast1024,zstd-1-w20,0,141540.5,23122.8,0.0,44.831,78.004,0.000,93.351,1992217
coast1024,zstd-1-w22,0,141540.5,23122.8,0.0,44.831,76.807,0.000,84.461,5137945
coast1024,zstd-1-w23,0,141540.5,23122.8,0.0,44.831,77.792,0.000,83.200,9332249
coast1024,zstd-1-w24,0,141540.5,23122.8,0.0,44.831,81.049,0.000,91.461,17720857
coast1024,zstd1-w16,0,141540.5,61879.9,0.0,44.831,185.690,0.000,203.641,664889
coast1024,zstd1-w18,0,141540.5,22554.3,0.0,44.831,103.714,0.000,123.761,1238553
coast1024,zstd1-w20,0,141540.5,22554.3,0.0,44.831,118.243,0.000,149.102,2024985
coast1024,zstd1-w22,0,141540.5,22554.3,0.0,44.831,105.071,0.000,113.291,5170713
coast1024,zstd1-w23,0,141540.5,22554.3,0.0,44.831,105.907,0.000,116.191,9365017
