codec,contexts,allocator_bytes_per_context,reported_bytes_per_context
lz4-linked,16,544979,0
zstd-1-w16,16,636242,632121
zstd-1-w18,16,1209682,1205785
zstd-1-w20,16,1996065,1992217
zstd-1-w22,16,5141793,5137945
zstd-1-w23,16,9336097,9332249
zstd-1-w24,16,17724705,17720857
zstd1-w16,16,665041,664889
zstd1-w18,16,1238705,1238553
zstd1-w20,16,2025137,2024985
zstd1-w22,16,5170865,5170713
zstd1-w23,16,9365169,9365017
zstd1-w24,16,17757473,17753625
zstd3-w16,16,1385937,1385785
zstd3-w18,16,1959601,1959449
zstd3-w20,16,2746033,2745881
zstd3-w22,16,5891761,5891609
zstd3-w23,16,10086065,10085913
zstd3-w24,16,18478369,18474521
zstd3-w23-ldm,16,10639025,10638873
zstd3-w24-ldm,16,19559713,19555865
zstd-1-w21,16,3044690,3040793
zstd1-w21,16,3077409,3073561
zstd3-w21,16,3798305,3794457
