codec,workers,repeat,frames,wall_s,frames_per_s,cpu_s
lz4-linked,1,0,2400,0.419035,5727.4,0.418919
lz4-linked,1,1,2400,0.413969,5797.5,0.413885
lz4-linked,1,2,2400,0.416819,5757.9,0.416739
lz4-linked,4,0,9600,0.433684,22135.9,1.722513
lz4-linked,4,1,9600,0.434292,22104.9,1.729124
lz4-linked,4,2,9600,0.436507,21992.8,1.737964
lz4-linked,8,0,19200,0.444807,43164.8,3.531950
lz4-linked,8,1,19200,0.452183,42460.6,3.578243
lz4-linked,8,2,19200,0.451208,42552.4,3.581447
lz4-linked,16,0,38400,0.460348,83415.2,7.235369
lz4-linked,16,1,38400,0.461525,83202.5,7.287058
lz4-linked,16,2,38400,0.464223,82718.8,7.322555
zstd1-w20,1,0,2400,0.430808,5570.9,0.430515
zstd1-w20,1,1,2400,0.421168,5698.4,0.421087
zstd1-w20,1,2,2400,0.417657,5746.3,0.417570
zstd1-w20,4,0,9600,0.441691,21734.7,1.758008
zstd1-w20,4,1,9600,0.444658,21589.6,1.771563
zstd1-w20,4,2,9600,0.447346,21459.9,1.781798
zstd1-w20,8,0,19200,0.456381,42070.1,3.626940
zstd1-w20,8,1,19200,0.462062,41552.8,3.670888
zstd1-w20,8,2,19200,0.462022,41556.5,3.667470
zstd1-w20,16,0,38400,0.477010,80501.5,7.480644
zstd1-w20,16,1,38400,0.479962,80006.3,7.522510
zstd1-w20,16,2,38400,0.507175,75713.6,7.631178
zstd3-w20,1,0,2400,1.034520,2319.9,1.032797
zstd3-w20,1,1,2400,1.005034,2388.0,1.004919
zstd3-w20,1,2,2400,0.998289,2404.1,0.998058
zstd3-w20,4,0,9600,1.120418,8568.2,4.271217
zstd3-w20,4,1,9600,1.139326,8426.0,4.322173
zstd3-w20,4,2,9600,1.084372,8853.1,4.288482
zstd3-w20,8,0,19200,1.155424,16617.3,8.727055
zstd3-w20,8,1,19200,1.152585,16658.2,8.800319
zstd3-w20,8,2,19200,1.149494,16703.0,8.913109
zstd3-w20,16,0,38400,1.207969,31788.9,18.334461
zstd3-w20,16,1,38400,1.217047,31551.8,18.367694
zstd3-w20,16,2,38400,1.216084,31576.8,18.564816
zstd3-w23,1,0,2400,0.963213,2491.7,0.962787
zstd3-w23,1,1,2400,0.980904,2446.7,0.980646
zstd3-w23,1,2,2400,1.060440,2263.2,1.060256
zstd3-w23,4,0,9600,1.128770,8504.8,4.227772
zstd3-w23,4,1,9600,1.134875,8459.1,4.319284
zstd3-w23,4,2,9600,1.136837,8444.5,4.324157
zstd3-w23,8,0,19200,1.179027,16284.6,9.162039
zstd3-w23,8,1,19200,1.198679,16017.6,9.176566
zstd3-w23,8,2,19200,1.177905,16300.1,9.064759
zstd3-w23,16,0,38400,1.242192,30913.1,18.690818
zstd3-w23,16,1,38400,1.221069,31447.8,18.736823
zstd3-w23,16,2,38400,1.262806,30408.5,19.374771
