scenario,codec,trials,raw_bytes,wire_bytes,asset_wire_bytes_per_tick,serialize_us,compress_cpu_us,asset_cpu_us_per_tick,compress_wall_p95_us,encoder_bytes,main_mbps,total_mbps,server_us,cores_per_1000_clients,encoder_gib_per_1000_clients
coast128,lz4-linked,3,17909.0,4402.5,0.0,7.441,10.163,0.0,11.85,0.0,0.3522,0.3522,17.604,0.17604,
coast128,zstd-1-w16,3,17909.0,2924.9,0.0,7.441,15.193,0.0,18.12,632121.0,0.233992,0.233992,22.634,0.22634,0.5887085571885109
coast128,zstd-1-w18,3,17909.0,2925.4,0.0,7.441,12.321,0.0,13.791,1205785.0,0.234032,0.234032,19.762,0.19762000000000002,1.1229747906327248
coast128,zstd-1-w20,3,17909.0,2925.4,0.0,7.441,12.233,0.0,13.5,1992217.0,0.234032,0.234032,19.674,0.19674,1.8553966656327248
coast128,zstd-1-w22,3,17909.0,2925.4,0.0,7.441,12.344,0.0,13.6,5137945.0,0.234032,0.234032,19.785,0.19785,4.785084165632725
coast128,zstd-1-w23,3,17909.0,2925.4,0.0,7.441,12.29,0.0,13.55,9332249.0,0.234032,0.234032,19.730999999999998,0.19730999999999999,8.691334165632725
coast128,zstd-1-w24,3,17909.0,2925.4,0.0,7.441,12.845,0.0,15.0,17720857.0,0.234032,0.234032,20.286,0.20286,16.503834165632725
coast128,zstd1-w16,3,17909.0,2887.1,0.0,7.441,20.785,0.0,24.01,664889.0,0.230968,0.230968,28.226,0.28226,0.6192261353135109
coast128,zstd1-w18,3,17909.0,2913.8,0.0,7.441,18.915,0.0,20.61,1238553.0,0.233104,0.233104,26.355999999999998,0.26355999999999996,1.1534923687577248
coast128,zstd1-w20,3,17909.0,2913.8,0.0,7.441,18.706,0.0,21.49,2024985.0,0.233104,0.233104,26.147,0.26147,1.8859142437577248
coast128,zstd1-w22,3,17909.0,2913.8,0.0,7.441,18.343,0.0,20.24,5170713.0,0.233104,0.233104,25.784,0.25784,4.815601743757725
coast128,zstd1-w23,3,17909.0,2913.8,0.0,7.441,18.206,0.0,19.72,9365017.0,0.233104,0.233104,25.647,0.25647,8.721851743757725
coast128,zstd1-w24,3,17909.0,2913.8,0.0,7.441,18.706,0.0,21.58,17753625.0,0.233104,0.233104,26.147,0.26147,16.534351743757725
coast128,zstd3-w16,3,17909.0,2911.7,0.0,7.441,26.969,0.0,30.35,1385785.0,0.232936,0.232936,34.410000000000004,0.3441,1.290612854063511
coast128,zstd3-w18,3,17909.0,2912.4,0.0,7.441,39.0,0.0,42.271,1959449.0,0.232992,0.232992,46.441,0.46441000000000004,1.8248790875077248
coast128,zstd3-w20,3,17909.0,2912.5,0.0,7.441,36.055,0.0,40.67,2745881.0,0.233,0.233,43.496,0.43496,2.5573009625077248
coast128,zstd3-w22,3,17909.0,2912.5,0.0,7.441,31.822,0.0,36.79,5891609.0,0.233,0.233,39.263,0.39263,5.486988462507725
coast128,zstd3-w23,3,17909.0,2912.5,0.0,7.441,31.855,0.0,35.14,10085913.0,0.233,0.233,39.296,0.39296,9.393238462507725
coast128,zstd3-w24,3,17909.0,2912.5,0.0,7.441,32.287,0.0,37.041,18474521.0,0.233,0.233,39.728,0.39728,17.205738462507725
coast128,zstd3-w23-ldm,3,17909.0,3063.7,0.0,7.441,60.518,0.0,64.851,10638873.0,0.245096,0.245096,67.959,0.67959,9.9082225933671
